metric,group,subgroup,n_cases,mean,ci95_low,ci95_high
detection_rate,RQ4,order_1,250,0.472,0.412,0.536
complete_repair_rate,RQ4,order_1_cohort_wide,250,0.892,0.852,0.928
effective_repair_rate,RQ4,order_1_cohort_wide,250,0.42,0.36,0.484
mean_bpr_delta,RQ4,order_1,250,0.0677,0.041874,0.096662
complete_repair_rate,RQ4,order_1_detectable,118,0.771186,0.694915,0.847458
effective_repair_rate,RQ4,order_1_detectable,118,0.889831,0.830508,0.940678
detection_rate,RQ4,order_2,250,0.992,0.98,1.0
complete_repair_rate,RQ4,order_2_cohort_wide,250,0.6,0.54,0.66
effective_repair_rate,RQ4,order_2_cohort_wide,250,0.92,0.884,0.952
mean_bpr_delta,RQ4,order_2,250,0.267039,0.220809,0.315454
complete_repair_rate,RQ4,order_2_detectable,248,0.596774,0.53629,0.657258
effective_repair_rate,RQ4,order_2_detectable,248,0.927419,0.895161,0.959677
detection_rate,RQ4,order_3,250,1.0,1.0,1.0
complete_repair_rate,RQ4,order_3_cohort_wide,250,0.404,0.344,0.464
effective_repair_rate,RQ4,order_3_cohort_wide,250,0.98,0.96,0.996
mean_bpr_delta,RQ4,order_3,250,0.388064,0.335051,0.441553
complete_repair_rate,RQ4,order_3_detectable,250,0.404,0.344,0.464
effective_repair_rate,RQ4,order_3_detectable,250,0.98,0.96,0.996
detection_rate,RQ4,fo_subset,250,0.472,0.412,0.536
detection_rate,RQ4,ho_orders_2_3,500,0.996,0.99,1.0
